Province,County,Povy,MeanNTL,NonAgriculturalPopu,PopuDensity,ImmigrantPopu,PerHousing,EducationYear,ConstructionLand,Popu65,v24,v21,v16,RailwayDensity,v13,v9,RoadDensity
江苏省,溧阳市,0,0.017754914375768236,0.22428951134737268,0.011545289597748693,0.009724858316511835,0.5675074183976262,0.6149012567324954,0.10385,0.48,0.4721158030725341,0.6269038072507049,0.6041502789162579,0.006845302722875479,0.03245478693809885,0.24730951829806325,0.0010314001845013868
江苏省,涟水县,0,0.010341165579399408,0.1195052136577387,0.011694044751569191,0.0023637537091732532,0.5425816023738873,0.5718132854578096,0.21737,0.8400000000000001,0.7557407988245342,0.8824213964630827,0.08510667401084847,0.0,0.6104292316305355,0.040705018391426914,0.0010062787131876812
江苏省,六合区,0,0.04745635192163007,0.33357186669392763,0.015269194815011228,0.013578624136536105,0.5541543026706232,0.6418312387791741,0.20963,1.0,0.049121522840512175,0.3821531271206571,0.01813116181270464,0.030092122966667294,0.6665287355693228,0.3290027491215854,0.0009439557751199227
江苏省,南长区,0,0.4730649790544954,0.8076058065835207,0.455310481050817,0.018817941474817558,0.4074183976261128,0.8240574506283662,0.9583299999999999,0.56,0.1522345232153036,0.7351202750018316,0.5469790546712976,0.08562467400913643,0.34182179652937206,0.34902812680354245,0.009113179864211684
江苏省,戚墅堰区,0,0.25534319356246965,0.5753424657534246,0.09247165627379474,0.006283766651637079,0.4683976261127598,0.7342908438061041,0.6,0.24,0.9394359467767848,0.9413499064576332,0.2900791840828373,0.34172547484367305,0.4902325639126917,0.17266693473874326,0.00481369650789636
江苏省,启东市,0,0.027252377074812453,0.20282150889388675,0.0160799676657959,0.007518813478016213,0.725519287833828,0.5718132854578096,0.043120000000000006,0.7200000000000002,0.7252638288027564,0.5929014226111179,0.3597312362492582,0.006585342475625457,0.23645205985026546,0.7619701494299139,0.0015694714668271696
江苏省,秦淮区,0,0.3781693040767104,0.699550194234308,0.5789822901517631,0.030664900285551727,0.3114243323442137,0.8114901256732494,0.82,0.8400000000000001,0.3011627177851128,0.8865644732085248,0.8427846669395371,0.32939983907675824,0.2170403537960008,0.1098419181595831,0.009178789723759741
江苏省,清河区,0,0.23996767611717096,0.3825393580044981,0.12318590529011313,0.0009045942770943292,0.3522255192878339,0.625673249551167,0.48091999999999996,0.12,0.4259140162106555,0.8658612946043063,0.3829932824290991,0.07893016250012784,0.4221097155880024,0.4588364845439549,0.003113396622149302
江苏省,清浦区,0,0.10193324065502306,0.5199345737068084,0.01992390136795252,0.003969502518565247,0.5419881305637984,0.6804308797127468,0.29293,0.0,0.4388663956970268,0.9725684179387621,0.5930664701830604,0.0,0.6122233761381077,0.2262093374517429,0.0013840566733237633
江苏省,如东县,0,0.010621367820398105,0.15272950316908607,0.012328417403907622,0.005401567973854469,0.7511869436201779,0.5457809694793536,0.02332,0.9600000000000002,0.8065092596680559,0.1552067510784994,0.2725823673268554,0.007033197137630757,0.8300912293913011,0.7806482539897912,0.0017739537589178149
江苏省,如皋市,0,0.027580569754877226,0.12369658556532405,0.018829297575682285,0.0056801817582988615,0.7820474777448072,0.573608617594255,0.07216,0.32,0.8821389907463558,0.5603578715700647,0.9118687466599524,0.008125600994556056,0.11587770189241706,0.4779081949736208,0.0014930337724026895
江苏省,润州区,0,0.17234140707967344,0.7405438560621549,0.05987127716447736,0.01236518984655569,0.4164688427299704,0.755834829443447,0.43077,0.8400000000000001,0.40106123702314256,0.7763873068852378,0.5002908292491494,0.19344919204212446,0.4577665422621961,0.5526278965911219,0.003784543504407013
江苏省,射阳县,0,0.006248045550667066,0.22899202617051725,0.0071936287238694285,0.003227315489626531,0.43724035608308615,0.5996409335727109,0.13021000000000002,0.2,0.33162496877079545,0.45646461417669604,0.4407060365102533,0.0020021458017847114,0.10308203157208304,0.5924377400929883,0.0007617272830514993
江苏省,沭阳县,0,0.010769983373634984,0.1922919648333674,0.01533393321065381,0.003269600886928377,0.4497032640949556,0.5457809694793536,0.24205,0.03999999999999999,0.6933711421798756,0.2290740284517798,0.10315599817836124,0.0047511124419638145,0.5181267838209624,0.14057516229373454,0.0011539721697029065
江苏省,苏州工业园区,0,0.4483947972171738,0.2678388877530157,0.04589755013686524,0.09206267071750332,0.5627596439169139,0.7037701974865349,0.32,0.5200000000000001,0.5608788602583142,0.07737584072227566,0.844015714179447,0.06631388499292068,0.7641280489983231,0.5641375838587595,0.0040224763715624575
江苏省,睢宁县,0,0.010279242432217377,0.11398487016969945,0.013434982688444005,0.001637854388824878,0.5940652818991099,0.5341113105924596,0.24661,0.03999999999999999,0.5247246098891598,0.2621187233673563,0.785584674792933,0.0,0.4338059724045951,0.43374071194709896,0.000914216961726751
江苏省,太仓市,0,0.13485313377567099,0.29871191985279083,0.020461341395463958,0.04205079165311315,0.6553412462908011,0.6454219030520646,0.16357,0.8800000000000001,0.12641103929658545,0.5058376779415078,0.9909988449865252,0.008002875022386788,0.18173257208008145,0.7146127872421683,0.0018696434220126113
江苏省,天宁区,0,0.4173140215678322,0.7067061950521365,0.2166894629592191,0.03094367068257872,0.4215133531157271,0.7953321364452423,0.7826099999999999,0.07999999999999997,0.1435068890625896,0.1177810334248346,0.18791878949685775,0.1774798316751453,0.15888403378281232,0.9773609396507216,0.006601759433168379
江苏省,通州区,0,0.05982085633520238,0.4691269679002249,0.016929742616363288,0.08489419958676205,0.4798219584569733,0.7953321364452423,0.08039999999999999,0.07999999999999997,0.3295758457986159,0.9956672533811992,0.12327879228541652,0.02894715624181678,0.8116637049190755,0.6901767831377839,0.0008997388552063908
江苏省,铜山区,0,0.019299896897959943,0.11756287057861375,0.011127114555624994,0.011330763738486429,0.5851632047477745,0.5861759425493716,0.13180999999999998,0.36000000000000004,0.8743138237368714,0.4172280744297985,0.2806327123112546,0.03041415972309596,0.18514255565107232,0.6785993248977946,0.0008302607139162152
