Province,County,Povy,MeanNTL,RoadDensity,RailwayDensity,RoadAccess,AvgSlope,AvgEle,ConstructionLand,Corpland,PopuDensity,MalePopu,Popu65,ImmigrantPopu,NonAgriculturalPopu,PerHousing,EducationYear,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,Istrain
陕西省,旬邑县,1,0.0015728479384236225,0.0004931891521126665,0.0,0.5066666666666666,0.0,0.9666527719883284,0.01643,0.61,0.003473254691823763,0.9666666666666667,0.36000000000000004,0.0009985618266539894,0.060417092619096294,0.32017804154302676,0.5529622980251346,0.9395663931428468,0.6637060609539298,0.5764702222752915,0.16903061891835058,0.8574513702869199,0.594749248738908,0.0815226927208213,0.8673378094304215,0.07565806898769502,0.7782194416155546,0.6630367485652089,0.7377007765214835,0.7979642178289423,0.29314463226172816,0.3943644769487506,0.06699711537801474,0.42325827015346823,0.7689596047468247,0.32879162268020096,0.04809931198207694,0.9789144801367495,0.3758395075331225,0.4930091514343445,0.9212484913089409,0.25468177165313777,1
陕西省,延川县,1,0.002860849399809896,0.0003527794688777616,0.00013081256723468656,0.2133333333333333,0.0,0.43184660275114634,0.00253,0.05,0.0018545403009237865,0.8999999999999999,0.8800000000000001,0.0008579237274796979,0.2213248824371294,0.21869436201780418,0.6274685816876122,0.15834015509200516,0.18458133768557658,0.2317213061384277,0.9119913945339541,0.8151334284781101,0.04166323636898167,0.43273698011034656,0.43735260405881565,0.4575716360066391,0.6854385353853595,0.3123999874407959,0.13663637691102712,0.4237993010757617,0.22245186413361098,0.7437339726991932,0.8680829445190469,0.13184426311115519,0.8831757621668004,0.27178953222626334,0.20800845500892765,0.48466796776248383,0.029925114480624126,0.7174115196606868,0.17403991049129927,0.08477537539291644,1
陕西省,延长县,1,0.0057836219468018245,0.00017103730702836158,0.0,0.8799999999999999,0.0,0.47102959566486036,0.0017000000000000001,0.23,0.0011673907452089212,0.10000000000000009,0.6800000000000002,0.00029803374468672235,0.24044162747904316,0.28353115727002975,0.5960502692998205,0.7196479017035822,0.1624126401114518,0.8501728765666958,0.7220495750749407,0.9617760569240945,0.8515502092874407,0.8800062635960928,0.8202970515984167,0.6436652651583517,0.44261695354398634,0.6673355024872999,0.7390746046794514,0.6310126423605504,0.15043063872328466,0.3378553027377638,0.030778889227072673,0.6961196595345328,0.029412222320925253,0.5659920529049394,0.5708291867629902,0.33698338922657817,0.0106311084082305,0.7914587229490688,0.7271690350761512,0.03432956398689039,1
陕西省,雁塔区,0,0.5842015474594482,0.007791110728804628,0.045078962033198326,0.24,0.0,0.047936640266777825,0.63265,0.7,0.09602329691493709,0.8999999999999999,0.6800000000000002,0.08283568380107509,0.5613371498671028,0.4094955489614244,0.9631956912028725,0.4088542261506849,0.22150646055863785,0.8347934016573948,0.07476135187559116,0.864282983275844,0.19868884678568383,0.45805173516875247,0.3451800761471683,0.6372165030664585,0.6171162335753545,0.3104458456874918,0.8948819087886156,0.19119686939658517,0.31890139137240353,0.7788649172968231,0.5163566559429738,0.544407259958331,0.3501449457345611,0.2863958421558544,0.8202779081049917,0.45895155779412616,0.508904895401042,0.4737232025631369,0.14635167542466943,0.9246855149425175,1
陕西省,杨陵区,0,0.08363030642669385,0.001769755667027162,0.06948716003300283,0.16,0.0,0.17590662776156732,0.19231,0.28,0.033493641719267275,0.5333333333333334,0.19999999999999998,0.005816434705160369,0.34021672459619706,0.6366468842729971,0.8321364452423697,0.5117421664320375,0.6740110961723318,0.6716942719654394,0.40853916521828626,0.01500851023031908,0.7036252203771014,0.776988166750298,0.9052518128187108,0.701820911362016,0.06879205852881803,0.23285985916508198,0.6755087379912155,0.11289913288697812,0.5731272093760614,0.9220668298200946,0.34491866388735903,0.6707533069674213,0.5201127960139251,0.3295108036873351,0.9811223800544805,0.6109688518464337,0.9629577392643576,0.038553794260937496,0.7286089601292053,0.8952152514088879,1
陕西省,洋县,1,0.0015310498140757506,0.00014930337724026896,0.006437405354134593,0.8933333333333332,0.026398241271270058,0.944560233430596,0.01057,0.73,0.002699320692220465,0.8333333333333336,0.19999999999999998,0.0006151742244505757,0.11981189940707422,0.45771513353115734,0.5897666068222621,0.15345855474193176,0.4118644938922269,0.6329964077005488,0.7172676414092809,0.31087842823191086,0.298577901158446,0.45238824890461016,0.024083433127866913,0.9009887577259565,0.11698165174776143,0.7724940458436877,0.027220344962188267,0.06534886669314816,0.8588509916433814,0.916618293495744,0.7722897477033036,0.7333455957520028,0.5760774281202593,0.3166558942556961,0.4932328928384371,0.5149743484835482,0.3514692342624455,0.22661872631031502,0.679053826210481,0.4679392911261302,1
陕西省,耀州区,1,0.01066781018078463,8.430282796662161e-05,0.012927373576194398,0.8000000000000002,0.0,0.20800333472280116,0.020649999999999998,0.85,0.004763791544911029,0.16666666666666663,0.16000000000000006,0.0033186206252820006,0.2641586587609896,0.4519287833827894,0.6561938958707361,0.5567949649025442,0.8802352444860304,0.8787216765211464,0.04245831329791371,0.4916850482724192,0.9960917159910102,0.39520882225128273,0.18708287179240154,0.5232864983336328,0.3521772749980662,0.1505007965657434,0.02772384134577006,0.12438018044109087,0.3359310918434749,0.4219101783107459,0.044766983477731684,0.1842055701586635,0.4070427637736696,0.07636925032840602,0.41391229251710465,0.04669557196566187,0.45747927203775607,0.3863386708436265,0.3999341593616612,0.6409886475182106,1
陕西省,宜川县,1,0.000992318433592069,0.0003084507489138793,0.0,0.7200000000000001,0.02288424587581575,0.6411004585243851,0.0017000000000000001,0.64,0.0008881408007614635,0.5333333333333334,1.0,0.0005287240788556882,0.129421386219587,0.28887240356083094,0.6274685816876122,0.6379582049675819,0.16417088774539712,0.749621876044358,0.20376595626340252,0.5886219329541259,0.7354975913435426,0.15606100506475784,0.14152973099137958,0.6538404033057251,0.04122652073932333,0.6071164061227521,0.16785695256856908,0.9990192074901657,0.6325982553291772,0.11533245147069467,0.8899096529097823,0.5085456761297534,0.3231641560310914,0.4643912816201401,0.4185782797721882,0.04211466740248502,0.936329223375838,0.3720970658743789,0.02925892453410637,0.5941048645104355,1
陕西省,宜君县,1,0.0015155690272802425,0.00020105562054740925,0.0019379287233240474,0.7600000000000001,0.0,0.1329720716965402,0.00466,0.6,0.0012760303624666186,0.0,0.6400000000000001,0.00028440845000057163,0.13657738703741565,0.36216617210682495,0.6149012567324954,0.23599461085136164,0.8364729302430389,0.7212967615427791,0.8149828847631035,0.02549200752306393,0.9049672099599916,0.7162193275129254,0.9830770977799982,0.2195562260632632,0.20745953853869015,0.7139508072170306,0.08187829520083655,0.4902082210288654,0.5441089216449462,0.8937309251907578,0.04521909113008573,0.8590095061842178,0.23561335364744215,0.1319729315687944,0.07233887992340718,0.9694555098519633,0.7849004625893267,0.9774415281158376,0.6406003173157203,0.9459217667965162,1
陕西省,印台区,1,0.005331582972372988,0.0007924667068953062,0.01710148367613758,0.45333333333333337,0.0,0.0921217173822426,0.026019999999999998,0.43,0.008301116570309318,0.5000000000000001,0.12000000000000001,0.002677761937285118,0.5460028624003271,0.31335311572700303,0.6310592459605026,0.2095790508947029,0.4401411743055726,0.07767358503408002,0.029779182201192276,0.015385617424956104,0.7822642873388174,0.1682778574531999,0.669119767009848,0.2317853174266761,0.9763726889142604,0.8434891315909389,0.22053769271669352,0.8941655114051663,0.9870206916729192,0.45125607303482707,0.9479950866766222,0.9767239953543658,0.008808884192655533,0.17396537182130417,0.5135229906052127,0.3257771263998479,0.2627915873959793,0.20437409082988703,0.8992496352956827,0.14452879124508866,1
陕西省,永寿县,1,0.0024351277629334235,0.00031032339975724634,0.011956268645250352,0.8399999999999999,0.03481105783378629,0.6636098374322634,0.03902,0.24,0.00499554545756764,0.5000000000000001,0.76,0.00015582951968643656,0.11531384175015333,0.34569732937685466,0.580789946140036,0.962661986026905,0.967741655831938,0.7329184609506151,0.032882354703533595,0.5233684713444188,0.6934149961165883,0.3196566187859526,0.9708121328148789,0.13286607458340874,0.9858916179468368,0.24539013577558144,0.548214172579916,0.010062338040079324,0.6813728412530012,0.20081147391995602,0.5754122088173298,0.30522873872223205,0.28074999619081065,0.2975447795597909,0.914155232612089,0.22488976939208832,0.36282937512498437,0.2685352914992933,0.8451594129166898,0.15534210613121088,1
